feature,importance
glucose_15min,0.19683786
glucose_30min,0.09258136
glucose_moderately_low,0.0497341
glucose_trend_negative,0.031488944
glucose_velocity,0.029783525
glucose_change_15min,0.02917233
glucose_60min,0.02765751
calories,0.026573304
glucose_dropping_fast,0.026241176
glucose_low_range,0.026049055
glucose_trend,0.022519229
glucose_dropping_moderate,0.021816628
high_calorie_burn,0.021510711
glucose_range_15min,0.020876205
glucose_unstable,0.02052216
glucose_change_30min,0.019371731
glucose_std_15min,0.016296517
steps_60min,0.015485024
hypo_risk_score,0.014527454
steps_30min,0.01430814
glucose_acceleration,0.013769806
calories_15min,0.013692216
calories_30min,0.012493862
moderate_activity,0.012435995
glucose_acceleration_negative,0.01214413
calories_60min,0.010725419
calories_velocity,0.010633635
hour_sin,0.010280699
is_weekend,0.01008903
glucose_rising_fast,0.009978696
hypo_activity_risk,0.009930911
steps,0.009710173
hour_cos,0.0092231305
hour,0.008996538
glucose_hr_ratio,0.008803653
hr_30min,0.008417825
dayofweek,0.008390435
hr_60min,0.00818096
hr_very_low,0.008127037
glucose_per_calorie,0.00807558
hr_15min,0.007939025
hr_elevated,0.0076830704
hr_activity_intensity,0.0076535335
steps_velocity,0.0072280164
steps_15min,0.0072062775
hr_std_15min,0.007188934
calorie_per_step,0.00698623
heart_rate,0.0069034086
glucose_per_steps,0.006394614
hr_trend,0.006001676
high_activity,0.001362566
low_activity,0.0
hypo_sedentary_risk,0.0
